linguagem,cenario,rotulo,lado,n_celulas,rodada,seed,tempo_ms,nos_expandidos,custo_caminho
javascript,melhor,pequena,51,2601,26,,0.249100,51,50
javascript,melhor,pequena,51,2601,27,,0.148400,51,50
javascript,melhor,pequena,51,2601,28,,0.149400,51,50
javascript,melhor,pequena,51,2601,29,,0.147300,51,50
javascript,melhor,pequena,51,2601,30,,0.155100,51,50
javascript,melhor,intermediaria,101,10201,1,,0.221500,101,100
javascript,melhor,intermediaria,101,10201,2,,0.426100,101,100
javascript,melhor,intermediaria,101,10201,3,,0.226800,101,100
javascript,melhor,intermediaria,101,10201,4,,0.235000,101,100
javascript,melhor,intermediaria,101,10201,5,,0.219200,101,100
javascript,melhor,intermediaria,101,10201,6,,0.329800,101,100
javascript,melhor,intermediaria,101,10201,7,,0.218800,101,100
javascript,melhor,intermediaria,101,10201,8,,0.216500,101,100
javascript,melhor,intermediaria,101,10201,9,,0.232800,101,100
javascript,melhor,intermediaria,101,10201,10,,0.397400,101,100
javascript,melhor,intermediaria,101,10201,11,,0.272800,101,100
javascript,melhor,intermediaria,101,10201,12,,0.228600,101,100
javascript,melhor,intermediaria,101,10201,13,,0.245200,101,100
javascript,melhor,intermediaria,101,10201,14,,0.437400,101,100
javascript,melhor,intermediaria,101,10201,15,,0.215900,101,100
javascript,melhor,intermediaria,101,10201,16,,0.283500,101,100
javascript,melhor,intermediaria,101,10201,17,,0.241900,101,100
javascript,melhor,intermediaria,101,10201,18,,0.212800,101,100
javascript,melhor,intermediaria,101,10201,19,,0.296000,101,100
javascript,melhor,intermediaria,101,10201,20,,0.348900,101,100
javascript,melhor,intermediaria,101,10201,21,,0.300100,101,100
javascript,melhor,intermediaria,101,10201,22,,0.329500,101,100
javascript,melhor,intermediaria,101,10201,23,,0.635400,101,100
javascript,melhor,intermediaria,101,10201,24,,0.279300,101,100
javascript,melhor,intermediaria,101,10201,25,,0.207800,101,100
javascript,melhor,intermediaria,101,10201,26,,0.203400,101,100
javascript,melhor,intermediaria,101,10201,27,,0.239900,101,100
javascript,melhor,intermediaria,101,10201,28,,0.264900,101,100
javascript,melhor,intermediaria,101,10201,29,,0.282000,101,100
javascript,melhor,intermediaria,101,10201,30,,0.279200,101,100
javascript,melhor,media,151,22801,1,,0.338000,151,150
javascript,melhor,media,151,22801,2,,0.306500,151,150
javascript,melhor,media,151,22801,3,,0.524200,151,150
javascript,melhor,media,151,22801,4,,0.304200,151,150
javascript,melhor,media,151,22801,5,,0.301700,151,150
javascript,melhor,media,151,22801,6,,0.299800,151,150
javascript,melhor,media,151,22801,7,,0.310000,151,150
javascript,melhor,media,151,22801,8,,0.320500,151,150
javascript,melhor,media,151,22801,9,,0.470600,151,150
javascript,melhor,media,151,22801,10,,0.303600,151,150
javascript,melhor,media,151,22801,11,,0.301100,151,150
javascript,melhor,media,151,22801,12,,0.316000,151,150
javascript,melhor,media,151,22801,13,,0.409200,151,150
javascript,melhor,media,151,22801,14,,0.340400,151,150
javascript,melhor,media,151,22801,15,,0.572300,151,150
javascript,melhor,media,151,22801,16,,0.309400,151,150
javascript,melhor,media,151,22801,17,,0.303500,151,150
javascript,melhor,media,151,22801,18,,0.313000,151,150
javascript,melhor,media,151,22801,19,,0.301900,151,150
javascript,melhor,media,151,22801,20,,0.307600,151,150
javascript,melhor,media,151,22801,21,,0.502500,151,150
javascript,melhor,media,151,22801,22,,0.304200,151,150
javascript,melhor,media,151,22801,23,,0.301000,151,150
javascript,melhor,media,151,22801,24,,0.314000,151,150
javascript,melhor,media,151,22801,25,,0.303000,151,150
javascript,melhor,media,151,22801,26,,0.319700,151,150
javascript,melhor,media,151,22801,27,,0.715500,151,150
javascript,melhor,media,151,22801,28,,0.550100,151,150
javascript,melhor,media,151,22801,29,,0.534100,151,150
javascript,melhor,media,151,22801,30,,0.568200,151,150
javascript,melhor,intermediaria,201,40401,1,,0.814500,201,200
javascript,melhor,intermediaria,201,40401,2,,0.592000,201,200
javascript,melhor,intermediaria,201,40401,3,,0.211000,201,200
javascript,melhor,intermediaria,201,40401,4,,0.339900,201,200
javascript,melhor,intermediaria,201,40401,5,,0.203900,201,200
javascript,melhor,intermediaria,201,40401,6,,0.296900,201,200
javascript,melhor,intermediaria,201,40401,7,,0.206500,201,200
javascript,melhor,intermediaria,201,40401,8,,0.304700,201,200
javascript,melhor,intermediaria,201,40401,9,,0.182700,201,200
javascript,melhor,intermediaria,201,40401,10,,0.258700,201,200
javascript,melhor,intermediaria,201,40401,11,,0.187300,201,200
javascript,melhor,intermediaria,201,40401,12,,0.261800,201,200
javascript,melhor,intermediaria,201,40401,13,,0.172900,201,200
javascript,melhor,intermediaria,201,40401,14,,0.252500,201,200
javascript,melhor,intermediaria,201,40401,15,,0.173500,201,200
javascript,melhor,intermediaria,201,40401,16,,0.249100,201,200
javascript,melhor,intermediaria,201,40401,17,,0.170500,201,200
javascript,melhor,intermediaria,201,40401,18,,0.246000,201,200
javascript,melhor,intermediaria,201,40401,19,,0.165100,201,200
